ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes
1201,333,25,59,2025-11-03,2025-11-03 06:00:00,2025-11-03 14:00:00,39.04,0.59,125,Material shortage caused brief stoppage.
1202,223,19,39,2024-12-09,2024-12-09 06:00:00,2024-12-09 14:00:00,94.5,6.71,15,Minor tooling adjustment required.
1203,92,13,58,2024-02-22,2024-02-22 06:00:00,2024-02-22 14:00:00,45.95,1.33,16,
1204,424,1,24,2025-01-02,2025-01-02 06:00:00,2025-01-02 14:00:00,76.67,1.89,9,Quality hold pending inspection.
1205,108,20,39,2024-07-18,2024-07-18 06:00:00,2024-07-18 14:00:00,129.85,3.72,170,Material shortage caused brief stoppage.
1206,5,18,46,2023-10-04,2023-10-04 06:00:00,2023-10-04 14:00:00,11.4,0.11,16,Minor tooling adjustment required.
1207,154,12,22,2023-12-07,2023-12-07 14:00:00,2023-12-07 22:00:00,78.12,0.18,16,Quality hold pending inspection.
1208,493,9,65,2024-02-06,2024-02-06 22:00:00,2024-02-07 06:00:00,92.63,15.45,9,
1209,253,18,32,2025-10-19,2025-10-19 06:00:00,2025-10-19 14:00:00,66.6,0.85,19,Minor tooling adjustment required.
1210,135,2,34,2025-11-06,2025-11-06 06:00:00,2025-11-06 14:00:00,70.85,0.21,19,Material shortage caused brief stoppage.
1211,147,25,19,2023-11-07,2023-11-07 14:00:00,2023-11-07 22:00:00,34.44,0.07,203,
1212,173,20,72,2025-06-05,2025-06-05 22:00:00,2025-06-06 06:00:00,81.52,0.88,12,Material shortage caused brief stoppage.
1213,287,23,74,2023-01-25,2023-01-25 14:00:00,2023-01-25 22:00:00,77.13,1.44,3,Operator changeover mid-shift.
1214,187,32,56,2025-04-27,2025-04-27 22:00:00,2025-04-28 06:00:00,73.53,1.94,0,Material shortage caused brief stoppage.
1215,489,2,1,2023-05-20,2023-05-20 06:00:00,2023-05-20 14:00:00,58.49,0.65,3,Quality hold pending inspection.
1216,48,15,43,2023-07-30,2023-07-30 06:00:00,2023-07-30 14:00:00,91.46,5.55,6,
1217,202,33,24,2025-04-22,2025-04-22 06:00:00,2025-04-22 14:00:00,141.64,1.41,16,Material shortage caused brief stoppage.
1218,382,25,37,2023-02-23,2023-02-23 14:00:00,2023-02-23 22:00:00,21.42,2.17,11,Unscheduled machine downtime.
1219,433,25,43,2025-03-25,2025-03-25 22:00:00,2025-03-26 06:00:00,40.37,0.2,10,Operator changeover mid-shift.
1220,358,2,64,2025-11-17,2025-11-17 06:00:00,2025-11-17 14:00:00,89.09,0.81,170,Operator changeover mid-shift.
1221,332,21,11,2024-08-31,2024-08-31 22:00:00,2024-09-01 06:00:00,6.71,0.12,10,Minor tooling adjustment required.
1222,374,8,19,2023-08-25,2023-08-25 14:00:00,2023-08-25 22:00:00,40.14,0.93,7,Quality hold pending inspection.
1223,376,34,43,2023-05-10,2023-05-10 22:00:00,2023-05-11 06:00:00,97.1,1.49,1,Quality hold pending inspection.
1224,413,20,80,2025-08-02,2025-08-02 22:00:00,2025-08-03 06:00:00,37.08,0.89,1,Material shortage caused brief stoppage.
1225,39,20,22,2025-08-05,2025-08-05 14:00:00,2025-08-05 22:00:00,54.4,1.47,82,Operator changeover mid-shift.
1226,165,21,29,2024-12-29,2024-12-29 22:00:00,2024-12-30 06:00:00,17.73,0.0,7,Quality hold pending inspection.
1227,479,23,35,2025-06-06,2025-06-06 14:00:00,2025-06-06 22:00:00,67.67,8.3,6,Material shortage caused brief stoppage.
1228,43,20,35,2024-08-10,2024-08-10 14:00:00,2024-08-10 22:00:00,140.68,1.04,10,
1229,175,10,21,2023-06-03,2023-06-03 06:00:00,2023-06-03 14:00:00,114.02,6.98,2,Unscheduled machine downtime.
1230,35,24,72,2025-11-17,2025-11-17 22:00:00,2025-11-18 06:00:00,80.45,2.14,46,Quality hold pending inspection.
1231,481,5,49,2023-05-29,2023-05-29 06:00:00,2023-05-29 14:00:00,46.14,0.96,13,Unscheduled machine downtime.
1232,181,34,78,2025-02-02,2025-02-02 22:00:00,2025-02-03 06:00:00,63.79,0.36,4,
1233,159,29,55,2024-10-03,2024-10-03 22:00:00,2024-10-04 06:00:00,115.95,0.68,6,
1234,416,2,8,2023-10-30,2023-10-30 14:00:00,2023-10-30 22:00:00,109.03,2.75,3,Material shortage caused brief stoppage.
1235,374,3,68,2023-09-01,2023-09-01 14:00:00,2023-09-01 22:00:00,99.49,2.47,72,
1236,443,32,66,2023-02-21,2023-02-21 14:00:00,2023-02-21 22:00:00,55.28,0.97,14,
1237,83,16,40,2023-11-13,2023-11-13 06:00:00,2023-11-13 14:00:00,59.71,0.41,15,
1238,399,29,65,2024-11-22,2024-11-22 14:00:00,2024-11-22 22:00:00,113.89,2.22,12,Material shortage caused brief stoppage.
1239,235,33,9,2023-09-17,2023-09-17 06:00:00,2023-09-17 14:00:00,116.98,1.32,8,Unscheduled machine downtime.
1240,173,12,39,2025-05-21,2025-05-21 14:00:00,2025-05-21 22:00:00,108.94,2.69,5,Minor tooling adjustment required.
1241,379,21,18,2023-12-15,2023-12-15 22:00:00,2023-12-16 06:00:00,125.35,2.41,18,
1242,140,26,8,2023-02-18,2023-02-18 06:00:00,2023-02-18 14:00:00,44.15,0.78,7,Material shortage caused brief stoppage.
1243,72,32,48,2024-11-11,2024-11-11 06:00:00,2024-11-11 14:00:00,65.27,6.86,14,Quality hold pending inspection.
1244,354,33,40,2024-09-10,2024-09-10 22:00:00,2024-09-11 06:00:00,61.31,0.86,10,Operator changeover mid-shift.
1245,322,33,44,2023-01-23,2023-01-23 14:00:00,2023-01-23 22:00:00,19.34,0.16,204,Quality hold pending inspection.
1246,211,2,42,2024-08-28,2024-08-28 14:00:00,2024-08-28 22:00:00,75.66,9.01,4,Quality hold pending inspection.
1247,187,31,47,2025-05-03,2025-05-03 22:00:00,2025-05-04 06:00:00,63.36,0.53,56,Minor tooling adjustment required.
1248,377,6,69,2024-06-26,2024-06-26 06:00:00,2024-06-26 14:00:00,116.63,2.21,143,
1249,319,18,65,2023-04-01,2023-04-01 14:00:00,2023-04-01 22:00:00,58.72,0.94,1,Material shortage caused brief stoppage.
1250,212,6,69,2025-04-28,2025-04-28 06:00:00,2025-04-28 14:00:00,72.74,1.65,12,Minor tooling adjustment required.
1251,185,35,26,2025-01-17,2025-01-17 14:00:00,2025-01-17 22:00:00,147.13,0.31,8,
1252,228,9,1,2024-01-22,2024-01-22 22:00:00,2024-01-23 06:00:00,134.79,3.3,16,Unscheduled machine downtime.
1253,129,2,19,2023-09-07,2023-09-07 14:00:00,2023-09-07 22:00:00,8.17,0.05,150,Material shortage caused brief stoppage.
1254,142,6,62,2023-09-04,2023-09-04 06:00:00,2023-09-04 14:00:00,49.64,0.84,16,Minor tooling adjustment required.
1255,385,25,20,2024-07-12,2024-07-12 14:00:00,2024-07-12 22:00:00,128.46,2.7,8,Quality hold pending inspection.
1256,135,27,72,2025-10-28,2025-10-28 22:00:00,2025-10-29 06:00:00,71.12,0.82,9,Material shortage caused brief stoppage.
1257,278,2,9,2023-10-18,2023-10-18 14:00:00,2023-10-18 22:00:00,125.5,2.71,18,Minor tooling adjustment required.
1258,484,12,30,2025-10-13,2025-10-13 06:00:00,2025-10-13 14:00:00,67.91,0.75,18,Unscheduled machine downtime.
1259,372,18,40,2024-10-31,2024-10-31 06:00:00,2024-10-31 14:00:00,103.9,0.63,2,
1260,191,8,7,2024-10-12,2024-10-12 22:00:00,2024-10-13 06:00:00,56.54,1.01,5,Operator changeover mid-shift.
1261,67,3,20,2025-04-28,2025-04-28 22:00:00,2025-04-29 06:00:00,12.29,0.2,12,
1262,59,17,12,2025-05-03,2025-05-03 06:00:00,2025-05-03 14:00:00,97.71,1.16,7,
1263,490,27,6,2023-11-28,2023-11-28 22:00:00,2023-11-29 06:00:00,71.04,1.02,10,Material shortage caused brief stoppage.
1264,306,9,21,2024-09-28,2024-09-28 06:00:00,2024-09-28 14:00:00,72.08,1.49,10,Unscheduled machine downtime.
1265,23,2,16,2024-07-29,2024-07-29 22:00:00,2024-07-30 06:00:00,108.13,0.21,10,
1266,316,22,21,2025-08-10,2025-08-10 14:00:00,2025-08-10 22:00:00,147.51,2.43,13,Operator changeover mid-shift.
1267,44,9,63,2024-01-24,2024-01-24 22:00:00,2024-01-25 06:00:00,86.81,2.0,19,
1268,66,9,48,2024-07-12,2024-07-12 06:00:00,2024-07-12 14:00:00,61.4,0.05,95,
1269,393,26,1,2024-09-06,2024-09-06 14:00:00,2024-09-06 22:00:00,63.74,0.88,3,Material shortage caused brief stoppage.
1270,24,35,28,2023-01-23,2023-01-23 06:00:00,2023-01-23 14:00:00,112.0,10.75,224,
1271,406,33,35,2023-06-11,2023-06-11 06:00:00,2023-06-11 14:00:00,19.14,0.18,11,Unscheduled machine downtime.
1272,76,3,2,2024-11-13,2024-11-13 14:00:00,2024-11-13 22:00:00,62.85,0.85,5,Minor tooling adjustment required.
1273,187,33,79,2025-05-06,2025-05-06 06:00:00,2025-05-06 14:00:00,109.94,1.72,1,Minor tooling adjustment required.
1274,142,25,37,2023-09-18,2023-09-18 14:00:00,2023-09-18 22:00:00,62.79,0.4,11,Material shortage caused brief stoppage.
1275,227,30,80,2025-04-25,2025-04-25 22:00:00,2025-04-26 06:00:00,63.8,0.69,11,
1276,198,5,11,2024-07-30,2024-07-30 22:00:00,2024-07-31 06:00:00,102.72,2.71,7,Operator changeover mid-shift.
1277,334,6,53,2023-11-15,2023-11-15 22:00:00,2023-11-16 06:00:00,100.02,1.44,88,Material shortage caused brief stoppage.
1278,200,14,24,2023-06-28,2023-06-28 22:00:00,2023-06-29 06:00:00,104.82,1.43,0,Operator changeover mid-shift.
1279,221,6,66,2023-07-03,2023-07-03 22:00:00,2023-07-04 06:00:00,53.61,0.29,13,
1280,306,30,49,2024-10-07,2024-10-07 22:00:00,2024-10-08 06:00:00,83.02,0.62,5,
1281,150,20,65,2023-04-07,2023-04-07 22:00:00,2023-04-08 06:00:00,83.98,0.25,84,Unscheduled machine downtime.
1282,45,28,29,2024-02-04,2024-02-04 06:00:00,2024-02-04 14:00:00,35.93,0.11,0,Unscheduled machine downtime.
1283,226,33,38,2025-05-27,2025-05-27 14:00:00,2025-05-27 22:00:00,38.11,0.27,173,Unscheduled machine downtime.
1284,89,18,15,2024-02-09,2024-02-09 14:00:00,2024-02-09 22:00:00,37.48,4.5,145,Operator changeover mid-shift.
1285,275,8,34,2024-09-22,2024-09-22 06:00:00,2024-09-22 14:00:00,28.27,0.42,7,
1286,59,30,23,2025-05-04,2025-05-04 14:00:00,2025-05-04 22:00:00,95.12,0.61,9,Minor tooling adjustment required.
1287,410,11,58,2023-03-07,2023-03-07 06:00:00,2023-03-07 14:00:00,114.69,3.17,7,
1288,475,18,2,2024-09-07,2024-09-07 14:00:00,2024-09-07 22:00:00,84.1,1.74,18,
1289,249,12,33,2024-02-19,2024-02-19 06:00:00,2024-02-19 14:00:00,106.83,2.68,12,Minor tooling adjustment required.
1290,80,22,68,2025-12-17,2025-12-17 22:00:00,2025-12-18 06:00:00,30.59,5.55,33,
1291,16,1,34,2023-09-22,2023-09-22 14:00:00,2023-09-22 22:00:00,38.2,1.07,15,
1292,198,28,13,2024-08-04,2024-08-04 22:00:00,2024-08-05 06:00:00,69.35,1.78,3,Minor tooling adjustment required.
1293,195,13,40,2024-02-28,2024-02-28 14:00:00,2024-02-28 22:00:00,63.59,12.69,16,Unscheduled machine downtime.
1294,68,10,78,2025-08-23,2025-08-23 14:00:00,2025-08-23 22:00:00,98.47,1.63,13,Unscheduled machine downtime.
1295,445,7,20,2025-08-16,2025-08-16 06:00:00,2025-08-16 14:00:00,133.36,11.87,13,
1296,57,31,78,2024-04-05,2024-04-05 06:00:00,2024-04-05 14:00:00,38.89,0.21,0,Operator changeover mid-shift.
1297,263,26,42,2024-06-03,2024-06-03 22:00:00,2024-06-04 06:00:00,38.49,0.33,0,
1298,40,32,71,2025-12-01,2025-12-01 14:00:00,2025-12-01 22:00:00,22.37,0.23,7,
1299,6,4,41,2023-09-10,2023-09-10 06:00:00,2023-09-10 14:00:00,55.15,1.1,102,Minor tooling adjustment required.
1300,310,4,49,2023-03-01,2023-03-01 06:00:00,2023-03-01 14:00:00,34.48,0.64,15,Material shortage caused brief stoppage.
1301,411,32,3,2024-01-26,2024-01-26 14:00:00,2024-01-26 22:00:00,143.34,2.82,15,
1302,383,12,80,2023-02-01,2023-02-01 22:00:00,2023-02-02 06:00:00,143.34,1.67,136,
1303,408,18,1,2025-03-03,2025-03-03 06:00:00,2025-03-03 14:00:00,112.33,0.88,7,
1304,11,9,45,2025-01-18,2025-01-18 22:00:00,2025-01-19 06:00:00,115.78,6.03,7,
1305,67,35,44,2025-04-30,2025-04-30 06:00:00,2025-04-30 14:00:00,37.52,0.39,9,Minor tooling adjustment required.
1306,29,1,66,2023-04-23,2023-04-23 22:00:00,2023-04-24 06:00:00,22.2,3.34,13,Material shortage caused brief stoppage.
1307,101,6,32,2024-09-12,2024-09-12 06:00:00,2024-09-12 14:00:00,115.16,5.86,10,Unscheduled machine downtime.
1308,459,18,12,2024-10-19,2024-10-19 22:00:00,2024-10-20 06:00:00,72.71,0.75,1,
1309,263,10,60,2024-06-28,2024-06-28 14:00:00,2024-06-28 22:00:00,53.46,0.02,84,Material shortage caused brief stoppage.
1310,90,13,30,2023-04-30,2023-04-30 22:00:00,2023-05-01 06:00:00,129.6,1.94,8,
1311,239,13,56,2023-02-25,2023-02-25 06:00:00,2023-02-25 14:00:00,133.89,3.53,15,Minor tooling adjustment required.
1312,438,25,78,2023-06-11,2023-06-11 14:00:00,2023-06-11 22:00:00,90.43,0.44,2,Unscheduled machine downtime.
1313,322,5,59,2023-01-19,2023-01-19 14:00:00,2023-01-19 22:00:00,112.0,0.5,236,
1314,486,22,64,2025-08-14,2025-08-14 14:00:00,2025-08-14 22:00:00,130.25,2.63,10,Operator changeover mid-shift.
1315,121,28,24,2025-03-08,2025-03-08 22:00:00,2025-03-09 06:00:00,29.92,0.35,4,Unscheduled machine downtime.
1316,115,18,4,2025-05-27,2025-05-27 14:00:00,2025-05-27 22:00:00,21.63,3.03,2,
1317,358,14,7,2025-11-10,2025-11-10 06:00:00,2025-11-10 14:00:00,129.09,2.24,2,Material shortage caused brief stoppage.
1318,189,30,36,2025-07-16,2025-07-16 22:00:00,2025-07-17 06:00:00,121.61,1.34,69,
1319,345,28,3,2023-03-11,2023-03-11 22:00:00,2023-03-12 06:00:00,73.58,1.58,5,Minor tooling adjustment required.
1320,244,2,43,2023-02-22,2023-02-22 22:00:00,2023-02-23 06:00:00,61.38,0.78,14,Material shortage caused brief stoppage.
1321,80,6,61,2025-11-19,2025-11-19 06:00:00,2025-11-19 14:00:00,114.23,3.26,5,
1322,489,32,23,2023-05-21,2023-05-21 14:00:00,2023-05-21 22:00:00,21.76,1.67,19,
1323,481,30,66,2023-06-14,2023-06-14 22:00:00,2023-06-15 06:00:00,43.57,0.04,1,Quality hold pending inspection.
1324,372,33,20,2024-10-25,2024-10-25 14:00:00,2024-10-25 22:00:00,133.5,0.37,14,Operator changeover mid-shift.
1325,175,14,11,2023-05-11,2023-05-11 22:00:00,2023-05-12 06:00:00,27.82,0.03,235,
1326,478,33,30,2024-03-17,2024-03-17 14:00:00,2024-03-17 22:00:00,77.34,1.6,15,Operator changeover mid-shift.
1327,216,25,63,2023-02-24,2023-02-24 06:00:00,2023-02-24 14:00:00,83.79,1.05,1,
1328,282,14,76,2025-12-06,2025-12-06 06:00:00,2025-12-06 14:00:00,129.54,1.2,14,Unscheduled machine downtime.
1329,102,22,44,2024-03-22,2024-03-22 06:00:00,2024-03-22 14:00:00,144.54,0.18,1,Unscheduled machine downtime.
1330,96,15,14,2023-01-13,2023-01-13 22:00:00,2023-01-14 06:00:00,103.29,0.56,10,Unscheduled machine downtime.
1331,306,6,5,2024-09-30,2024-09-30 22:00:00,2024-10-01 06:00:00,72.06,0.2,1,Unscheduled machine downtime.
1332,357,22,6,2024-11-24,2024-11-24 22:00:00,2024-11-25 06:00:00,92.55,5.4,211,Quality hold pending inspection.
1333,494,9,21,2023-02-02,2023-02-02 14:00:00,2023-02-02 22:00:00,46.05,0.47,11,
1334,26,8,72,2023-07-14,2023-07-14 22:00:00,2023-07-15 06:00:00,29.52,0.5,8,Quality hold pending inspection.
1335,5,22,7,2023-10-14,2023-10-14 22:00:00,2023-10-15 06:00:00,107.15,0.03,229,
1336,470,7,13,2024-01-08,2024-01-08 22:00:00,2024-01-09 06:00:00,6.18,0.15,14,Minor tooling adjustment required.
1337,66,26,3,2024-07-17,2024-07-17 06:00:00,2024-07-17 14:00:00,23.26,0.13,4,Operator changeover mid-shift.
1338,15,18,73,2024-06-06,2024-06-06 14:00:00,2024-06-06 22:00:00,27.2,3.3,167,Operator changeover mid-shift.
1339,442,26,75,2023-04-04,2023-04-04 06:00:00,2023-04-04 14:00:00,146.11,0.32,1,
1340,231,33,8,2024-12-02,2024-12-02 22:00:00,2024-12-03 06:00:00,135.61,12.54,13,Quality hold pending inspection.
1341,310,19,55,2023-03-05,2023-03-05 14:00:00,2023-03-05 22:00:00,116.49,15.82,10,Operator changeover mid-shift.
1342,311,8,7,2025-01-16,2025-01-16 22:00:00,2025-01-17 06:00:00,26.31,2.69,8,
1343,111,29,75,2024-09-05,2024-09-05 06:00:00,2024-09-05 14:00:00,115.05,0.91,4,
1344,139,1,1,2024-10-28,2024-10-28 14:00:00,2024-10-28 22:00:00,57.79,3.57,11,Quality hold pending inspection.
1345,295,17,76,2025-09-01,2025-09-01 22:00:00,2025-09-02 06:00:00,5.28,0.07,8,
1346,111,11,8,2024-09-11,2024-09-11 22:00:00,2024-09-12 06:00:00,47.25,0.37,16,
1347,249,4,40,2024-02-16,2024-02-16 22:00:00,2024-02-17 06:00:00,113.47,0.7,6,Quality hold pending inspection.
1348,272,21,6,2025-10-19,2025-10-19 14:00:00,2025-10-19 22:00:00,111.78,3.32,8,
1349,153,15,1,2024-02-28,2024-02-28 14:00:00,2024-02-28 22:00:00,69.12,0.98,109,
1350,54,28,63,2025-10-08,2025-10-08 22:00:00,2025-10-09 06:00:00,53.05,3.76,18,
1351,404,9,10,2025-04-23,2025-04-23 06:00:00,2025-04-23 14:00:00,107.97,0.28,62,
1352,243,13,46,2024-11-11,2024-11-11 14:00:00,2024-11-11 22:00:00,72.51,1.89,17,Material shortage caused brief stoppage.
1353,350,16,55,2025-05-10,2025-05-10 22:00:00,2025-05-11 06:00:00,130.15,1.06,19,Unscheduled machine downtime.
1354,343,23,48,2025-12-04,2025-12-04 14:00:00,2025-12-04 22:00:00,115.39,1.69,12,Material shortage caused brief stoppage.
1355,311,12,50,2025-01-20,2025-01-20 22:00:00,2025-01-21 06:00:00,84.27,1.52,32,Material shortage caused brief stoppage.
1356,94,18,67,2023-04-17,2023-04-17 06:00:00,2023-04-17 14:00:00,38.11,0.66,15,Unscheduled machine downtime.
1357,439,33,79,2025-05-02,2025-05-02 06:00:00,2025-05-02 14:00:00,109.93,2.12,7,Material shortage caused brief stoppage.
1358,426,35,44,2025-08-01,2025-08-01 22:00:00,2025-08-02 06:00:00,101.67,0.72,13,Material shortage caused brief stoppage.
1359,376,16,2,2023-05-21,2023-05-21 06:00:00,2023-05-21 14:00:00,7.2,0.11,8,
1360,495,31,78,2025-11-22,2025-11-22 06:00:00,2025-11-22 14:00:00,123.03,2.7,15,
1361,153,33,11,2024-02-08,2024-02-08 06:00:00,2024-02-08 14:00:00,18.17,0.4,2,
1362,423,29,16,2023-04-22,2023-04-22 06:00:00,2023-04-22 14:00:00,8.44,0.02,12,Operator changeover mid-shift.
1363,273,14,19,2024-08-09,2024-08-09 06:00:00,2024-08-09 14:00:00,114.36,0.51,3,
1364,459,18,49,2024-10-29,2024-10-29 06:00:00,2024-10-29 14:00:00,27.48,0.22,7,Quality hold pending inspection.
1365,163,6,41,2024-09-06,2024-09-06 06:00:00,2024-09-06 14:00:00,94.51,2.59,14,Quality hold pending inspection.
1366,30,3,14,2023-09-26,2023-09-26 14:00:00,2023-09-26 22:00:00,118.61,0.24,2,Material shortage caused brief stoppage.
1367,126,10,57,2023-03-27,2023-03-27 06:00:00,2023-03-27 14:00:00,5.27,0.1,32,Operator changeover mid-shift.
1368,232,8,66,2023-10-19,2023-10-19 22:00:00,2023-10-20 06:00:00,82.26,13.47,16,
1369,141,1,36,2023-12-08,2023-12-08 14:00:00,2023-12-08 22:00:00,95.62,2.57,3,
1370,369,17,22,2023-07-17,2023-07-17 06:00:00,2023-07-17 14:00:00,124.99,2.19,134,
1371,22,6,5,2024-11-20,2024-11-20 14:00:00,2024-11-20 22:00:00,81.08,10.42,117,Material shortage caused brief stoppage.
1372,65,30,78,2024-09-30,2024-09-30 22:00:00,2024-10-01 06:00:00,40.35,0.39,6,Operator changeover mid-shift.
1373,243,27,32,2024-11-13,2024-11-13 06:00:00,2024-11-13 14:00:00,139.07,2.25,12,Minor tooling adjustment required.
1374,365,13,21,2024-12-06,2024-12-06 06:00:00,2024-12-06 14:00:00,148.48,3.29,5,Unscheduled machine downtime.
1375,213,12,60,2024-10-27,2024-10-27 06:00:00,2024-10-27 14:00:00,14.9,0.33,13,Material shortage caused brief stoppage.
1376,43,20,2,2024-09-04,2024-09-04 22:00:00,2024-09-05 06:00:00,110.41,1.08,11,Unscheduled machine downtime.
1377,189,9,78,2025-06-29,2025-06-29 22:00:00,2025-06-30 06:00:00,16.43,0.32,3,Quality hold pending inspection.
1378,240,5,52,2023-07-29,2023-07-29 06:00:00,2023-07-29 14:00:00,5.19,0.02,1,
1379,345,15,36,2023-03-27,2023-03-27 14:00:00,2023-03-27 22:00:00,114.95,0.16,14,Operator changeover mid-shift.
1380,45,26,33,2024-02-05,2024-02-05 14:00:00,2024-02-05 22:00:00,36.53,0.13,3,Quality hold pending inspection.
1381,321,12,8,2025-05-06,2025-05-06 22:00:00,2025-05-07 06:00:00,130.16,1.55,71,Quality hold pending inspection.
1382,433,10,8,2025-03-19,2025-03-19 14:00:00,2025-03-19 22:00:00,120.69,0.89,2,Quality hold pending inspection.
1383,174,25,36,2025-05-09,2025-05-09 14:00:00,2025-05-09 22:00:00,20.6,0.59,7,Minor tooling adjustment required.
1384,453,30,11,2025-06-28,2025-06-28 22:00:00,2025-06-29 06:00:00,125.17,3.09,12,Unscheduled machine downtime.
1385,108,32,54,2024-08-09,2024-08-09 06:00:00,2024-08-09 14:00:00,35.94,6.28,19,Minor tooling adjustment required.
1386,348,33,14,2025-08-10,2025-08-10 14:00:00,2025-08-10 22:00:00,88.58,1.28,10,Operator changeover mid-shift.
1387,235,10,16,2023-09-16,2023-09-16 06:00:00,2023-09-16 14:00:00,26.07,0.09,18,
1388,236,27,59,2025-05-10,2025-05-10 22:00:00,2025-05-11 06:00:00,138.38,2.76,9,Minor tooling adjustment required.
1389,499,21,25,2023-11-26,2023-11-26 14:00:00,2023-11-26 22:00:00,138.99,0.91,3,
1390,246,6,55,2023-02-02,2023-02-02 14:00:00,2023-02-02 22:00:00,142.35,25.45,92,Material shortage caused brief stoppage.
1391,237,25,3,2024-08-03,2024-08-03 14:00:00,2024-08-03 22:00:00,126.5,0.98,13,
1392,170,24,36,2025-03-12,2025-03-12 22:00:00,2025-03-13 06:00:00,28.11,0.71,7,
1393,192,8,34,2025-10-08,2025-10-08 14:00:00,2025-10-08 22:00:00,91.97,0.17,8,
1394,287,18,18,2023-02-04,2023-02-04 06:00:00,2023-02-04 14:00:00,69.77,0.05,0,
1395,31,33,55,2023-05-06,2023-05-06 22:00:00,2023-05-07 06:00:00,131.35,3.61,14,
1396,79,15,36,2023-08-19,2023-08-19 14:00:00,2023-08-19 22:00:00,29.45,0.1,11,
1397,77,10,72,2023-10-08,2023-10-08 22:00:00,2023-10-09 06:00:00,12.77,0.19,17,Operator changeover mid-shift.
1398,473,32,28,2023-03-20,2023-03-20 22:00:00,2023-03-21 06:00:00,5.76,0.07,11,
1399,168,25,7,2024-11-28,2024-11-28 22:00:00,2024-11-29 06:00:00,24.73,0.69,8,Minor tooling adjustment required.
1400,445,32,46,2025-08-29,2025-08-29 14:00:00,2025-08-29 22:00:00,41.48,0.84,2,Unscheduled machine downtime.
1401,318,16,39,2024-03-05,2024-03-05 22:00:00,2024-03-06 06:00:00,23.61,0.55,7,Material shortage caused brief stoppage.
1402,123,3,13,2024-04-16,2024-04-16 22:00:00,2024-04-17 06:00:00,45.13,4.26,8,Material shortage caused brief stoppage.
1403,346,24,10,2023-01-25,2023-01-25 14:00:00,2023-01-25 22:00:00,31.84,0.6,3,Quality hold pending inspection.
1404,233,7,63,2024-06-29,2024-06-29 22:00:00,2024-06-30 06:00:00,27.58,1.55,11,
1405,178,17,73,2023-10-01,2023-10-01 22:00:00,2023-10-02 06:00:00,149.56,0.73,50,Unscheduled machine downtime.
1406,28,25,17,2025-10-21,2025-10-21 22:00:00,2025-10-22 06:00:00,17.98,2.62,9,Minor tooling adjustment required.
1407,221,27,72,2023-07-23,2023-07-23 14:00:00,2023-07-23 22:00:00,136.33,12.41,7,
1408,445,19,3,2025-08-12,2025-08-12 14:00:00,2025-08-12 22:00:00,64.24,1.79,3,Operator changeover mid-shift.
1409,258,28,33,2024-11-02,2024-11-02 14:00:00,2024-11-02 22:00:00,85.94,16.06,39,Operator changeover mid-shift.
1410,187,22,62,2025-05-09,2025-05-09 06:00:00,2025-05-09 14:00:00,124.98,16.91,10,
1411,148,25,51,2025-11-16,2025-11-16 14:00:00,2025-11-16 22:00:00,108.92,1.71,3,Unscheduled machine downtime.
1412,492,14,77,2024-04-10,2024-04-10 14:00:00,2024-04-10 22:00:00,6.69,0.01,18,Quality hold pending inspection.
1413,352,29,1,2025-08-19,2025-08-19 06:00:00,2025-08-19 14:00:00,21.69,0.4,153,
1414,144,4,47,2023-01-24,2023-01-24 14:00:00,2023-01-24 22:00:00,41.39,0.43,5,
1415,69,7,18,2024-08-05,2024-08-05 14:00:00,2024-08-05 22:00:00,105.37,10.65,57,Material shortage caused brief stoppage.
1416,249,22,21,2024-01-16,2024-01-16 06:00:00,2024-01-16 14:00:00,47.6,0.52,8,
1417,203,5,80,2023-04-23,2023-04-23 06:00:00,2023-04-23 14:00:00,112.36,0.85,15,
1418,372,1,51,2024-11-17,2024-11-17 14:00:00,2024-11-17 22:00:00,14.8,0.2,16,Operator changeover mid-shift.
1419,289,33,78,2024-07-15,2024-07-15 14:00:00,2024-07-15 22:00:00,123.12,15.51,14,
1420,361,6,16,2024-11-11,2024-11-11 06:00:00,2024-11-11 14:00:00,87.64,2.62,5,Material shortage caused brief stoppage.
1421,376,6,41,2023-04-30,2023-04-30 22:00:00,2023-05-01 06:00:00,95.78,1.78,15,Unscheduled machine downtime.
1422,407,32,25,2024-07-18,2024-07-18 14:00:00,2024-07-18 22:00:00,16.78,0.21,12,Minor tooling adjustment required.
1423,119,30,1,2024-02-02,2024-02-02 22:00:00,2024-02-03 06:00:00,57.11,0.84,6,Material shortage caused brief stoppage.
1424,315,21,53,2023-02-15,2023-02-15 06:00:00,2023-02-15 14:00:00,114.74,2.75,16,Minor tooling adjustment required.
1425,95,14,52,2023-10-03,2023-10-03 06:00:00,2023-10-03 14:00:00,62.12,1.8,5,
1426,409,10,65,2023-10-21,2023-10-21 06:00:00,2023-10-21 14:00:00,31.06,0.58,4,Quality hold pending inspection.
1427,175,30,55,2023-06-11,2023-06-11 14:00:00,2023-06-11 22:00:00,85.73,0.42,8,Quality hold pending inspection.
1428,179,26,35,2025-10-19,2025-10-19 06:00:00,2025-10-19 14:00:00,68.56,0.91,0,Minor tooling adjustment required.
