ProductionLogID,ProductionOrderID,MachineID,OperatorID,LogDate,ShiftStartTime,ShiftEndTime,UnitsProduced,UnitsScrapped,DowntimeMinutes,Notes,ProductionDurationHours,DowntimeFlag,MachineUtilizationRate,ScrapRate
1413,352,29,1,2025-08-19,2025-08-19 06:00:00,2025-08-19 14:00:00,113.89,2.22,12,None,8.0,0,0.975,0.0191
1414,144,4,47,2023-01-24,2023-01-24 14:00:00,2023-01-24 22:00:00,116.98,1.32,8,None,8.0,0,0.9833,0.0112
1415,69,7,18,2024-08-05,2024-08-05 14:00:00,2024-08-05 22:00:00,108.94,2.69,5,Material shortage caused brief stoppage.,8.0,0,0.9896,0.0241
1416,249,22,21,2024-01-16,2024-01-16 06:00:00,2024-01-16 14:00:00,125.35,2.41,18,None,8.0,0,0.9625,0.0189
1417,203,5,80,2023-04-23,2023-04-23 06:00:00,2023-04-23 14:00:00,44.15,0.78,7,None,8.0,0,0.9854,0.0174
1418,372,1,51,2024-11-17,2024-11-17 14:00:00,2024-11-17 22:00:00,65.27,6.86,14,Operator changeover mid-shift.,8.0,0,0.9708,0.0951
1419,289,33,78,2024-07-15,2024-07-15 14:00:00,2024-07-15 22:00:00,61.31,0.86,10,None,8.0,0,0.9792,0.0138
1420,361,6,16,2024-11-11,2024-11-11 06:00:00,2024-11-11 14:00:00,19.34,0.16,204,Material shortage caused brief stoppage.,8.0,1,0.575,0.0082
1421,376,6,41,2023-04-30,2023-04-30 22:00:00,2023-05-01 06:00:00,75.66,9.01,4,Unscheduled machine downtime.,8.0,0,0.9917,0.1064
1422,407,32,25,2024-07-18,2024-07-18 14:00:00,2024-07-18 22:00:00,63.36,0.53,56,Minor tooling adjustment required.,8.0,1,0.8833,0.0083
1423,119,30,1,2024-02-02,2024-02-02 22:00:00,2024-02-03 06:00:00,116.63,2.21,143,Material shortage caused brief stoppage.,8.0,1,0.7021,0.0186
1424,315,21,53,2023-02-15,2023-02-15 06:00:00,2023-02-15 14:00:00,58.72,0.94,1,Minor tooling adjustment required.,8.0,0,0.9979,0.0158
1425,95,14,52,2023-10-03,2023-10-03 06:00:00,2023-10-03 14:00:00,72.74,1.65,12,None,8.0,0,0.975,0.0222
1426,409,10,65,2023-10-21,2023-10-21 06:00:00,2023-10-21 14:00:00,147.13,0.31,8,Quality hold pending inspection.,8.0,0,0.9833,0.0021
1427,175,30,55,2023-06-11,2023-06-11 14:00:00,2023-06-11 22:00:00,134.79,3.3,16,Quality hold pending inspection.,8.0,0,0.9667,0.0239
1428,179,26,35,2025-10-19,2025-10-19 06:00:00,2025-10-19 14:00:00,8.17,0.05,150,Minor tooling adjustment required.,8.0,1,0.6875,0.0061
1429,225,32,76,2025-01-31,2025-01-31 22:00:00,2025-02-01 06:00:00,49.64,0.84,16,Quality hold pending inspection.,8.0,0,0.9667,0.0166
1430,376,20,17,2023-05-15,2023-05-15 14:00:00,2023-05-15 22:00:00,128.46,2.7,8,None,8.0,0,0.9833,0.0206
1431,483,8,54,2024-01-22,2024-01-22 22:00:00,2024-01-23 06:00:00,71.12,0.82,9,Material shortage caused brief stoppage.,8.0,0,0.9812,0.0114
1432,365,22,73,2024-12-15,2024-12-15 22:00:00,2024-12-16 06:00:00,125.5,2.71,18,None,8.0,0,0.9625,0.0211
1433,438,20,75,2023-06-24,2023-06-24 06:00:00,2023-06-24 14:00:00,67.91,0.75,18,Material shortage caused brief stoppage.,8.0,0,0.9625,0.0109
1434,335,3,42,2024-06-06,2024-06-06 22:00:00,2024-06-07 06:00:00,103.9,0.63,2,Minor tooling adjustment required.,8.0,0,0.9958,0.006
1435,444,18,73,2025-08-28,2025-08-28 22:00:00,2025-08-29 06:00:00,56.54,1.01,5,None,8.0,0,0.9896,0.0175
1436,142,8,9,2023-09-15,2023-09-15 14:00:00,2023-09-15 22:00:00,12.29,0.2,12,Material shortage caused brief stoppage.,8.0,0,0.975,0.016
1437,58,1,71,2024-06-09,2024-06-09 06:00:00,2024-06-09 14:00:00,97.71,1.16,7,Quality hold pending inspection.,8.0,0,0.9854,0.0117
1438,417,2,45,2024-01-10,2024-01-10 14:00:00,2024-01-10 22:00:00,71.04,1.02,10,Material shortage caused brief stoppage.,8.0,0,0.9792,0.0142
1439,231,13,76,2024-12-02,2024-12-02 14:00:00,2024-12-02 22:00:00,72.08,1.49,10,None,8.0,0,0.9792,0.0203
1440,446,25,55,2023-11-29,2023-11-29 22:00:00,2023-11-30 06:00:00,108.13,0.21,10,Unscheduled machine downtime.,8.0,0,0.9792,0.0019
1441,393,33,10,2024-09-18,2024-09-18 22:00:00,2024-09-19 06:00:00,147.51,2.43,13,Minor tooling adjustment required.,8.0,0,0.9729,0.0162
1442,393,13,75,2024-09-06,2024-09-06 06:00:00,2024-09-06 14:00:00,86.81,2.0,19,Material shortage caused brief stoppage.,8.0,0,0.9604,0.0225
1443,254,7,24,2025-06-24,2025-06-24 22:00:00,2025-06-25 06:00:00,61.4,0.05,95,Unscheduled machine downtime.,8.0,1,0.8021,0.0008
1444,424,3,64,2025-01-05,2025-01-05 14:00:00,2025-01-05 22:00:00,63.74,0.88,3,Unscheduled machine downtime.,8.0,0,0.9938,0.0136
1445,49,32,54,2024-08-23,2024-08-23 22:00:00,2024-08-24 06:00:00,112.0,10.75,224,Quality hold pending inspection.,8.0,1,0.5333,0.0876
1446,159,35,52,2024-09-09,2024-09-09 06:00:00,2024-09-09 14:00:00,19.14,0.18,11,Quality hold pending inspection.,8.0,0,0.9771,0.0093
1447,129,2,59,2023-08-31,2023-08-31 14:00:00,2023-08-31 22:00:00,62.85,0.85,5,Minor tooling adjustment required.,8.0,0,0.9896,0.0133
1448,390,24,6,2024-10-08,2024-10-08 22:00:00,2024-10-09 06:00:00,109.94,1.72,1,Material shortage caused brief stoppage.,8.0,0,0.9979,0.0154
1449,460,9,44,2023-08-26,2023-08-26 22:00:00,2023-08-27 06:00:00,62.79,0.4,11,Unscheduled machine downtime.,8.0,0,0.9771,0.0063
1450,198,12,70,2024-07-30,2024-07-30 06:00:00,2024-07-30 14:00:00,63.8,0.69,11,None,8.0,0,0.9771,0.0107
1451,389,34,20,2025-06-27,2025-06-27 06:00:00,2025-06-27 14:00:00,102.72,2.71,7,Quality hold pending inspection.,8.0,0,0.9854,0.0257
1452,375,29,38,2024-12-30,2024-12-30 06:00:00,2024-12-30 14:00:00,100.02,1.44,88,None,8.0,1,0.8167,0.0142
1453,194,35,68,2025-07-03,2025-07-03 06:00:00,2025-07-03 14:00:00,104.82,1.43,0,Quality hold pending inspection.,8.0,0,1.0,0.0135
1454,18,6,53,2023-06-07,2023-06-07 14:00:00,2023-06-07 22:00:00,53.61,0.29,13,None,8.0,0,0.9729,0.0054
1455,247,10,62,2025-09-10,2025-09-10 06:00:00,2025-09-10 14:00:00,83.02,0.62,5,Unscheduled machine downtime.,8.0,0,0.9896,0.0074
1456,329,17,25,2023-07-09,2023-07-09 22:00:00,2023-07-10 06:00:00,83.98,0.25,84,None,8.0,1,0.825,0.003
1457,380,2,5,2024-11-03,2024-11-03 06:00:00,2024-11-03 14:00:00,35.93,0.11,0,Material shortage caused brief stoppage.,8.0,0,1.0,0.0031
1458,344,28,1,2024-08-12,2024-08-12 14:00:00,2024-08-12 22:00:00,38.11,0.27,173,Quality hold pending inspection.,8.0,1,0.6396,0.007
1459,173,17,24,2025-05-26,2025-05-26 14:00:00,2025-05-26 22:00:00,37.48,4.5,145,None,8.0,1,0.6979,0.1072
1460,109,1,54,2025-11-21,2025-11-21 14:00:00,2025-11-21 22:00:00,28.27,0.42,7,Material shortage caused brief stoppage.,8.0,0,0.9854,0.0146
1461,99,9,75,2025-03-04,2025-03-04 14:00:00,2025-03-04 22:00:00,95.12,0.61,9,Operator changeover mid-shift.,8.0,0,0.9812,0.0064
1462,297,11,14,2025-12-12,2025-12-12 06:00:00,2025-12-12 14:00:00,114.69,3.17,7,Unscheduled machine downtime.,8.0,0,0.9854,0.0269
1463,67,24,74,2025-05-11,2025-05-11 22:00:00,2025-05-12 06:00:00,84.1,1.74,18,Operator changeover mid-shift.,8.0,0,0.9625,0.0203
1464,41,3,66,2025-11-11,2025-11-11 14:00:00,2025-11-11 22:00:00,106.83,2.68,12,Unscheduled machine downtime.,8.0,0,0.975,0.0245
1465,418,8,72,2024-03-31,2024-03-31 22:00:00,2024-04-01 06:00:00,30.59,5.55,33,None,8.0,1,0.9312,0.1536
1466,222,1,76,2023-03-22,2023-03-22 22:00:00,2023-03-23 06:00:00,38.2,1.07,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.0272
1467,44,20,62,2024-01-29,2024-01-29 14:00:00,2024-01-29 22:00:00,69.35,1.78,3,None,8.0,0,0.9938,0.025
1468,153,3,26,2024-02-14,2024-02-14 06:00:00,2024-02-14 14:00:00,63.59,12.69,16,Material shortage caused brief stoppage.,8.0,0,0.9667,0.1664
1469,174,19,1,2025-05-09,2025-05-09 22:00:00,2025-05-10 06:00:00,98.47,1.63,13,Material shortage caused brief stoppage.,8.0,0,0.9729,0.0163
1470,99,19,32,2025-02-09,2025-02-09 22:00:00,2025-02-10 06:00:00,133.36,11.87,13,Operator changeover mid-shift.,8.0,0,0.9729,0.0817
1471,443,19,64,2023-02-14,2023-02-14 22:00:00,2023-02-15 06:00:00,38.89,0.21,0,None,8.0,0,1.0,0.0054
1472,171,7,75,2025-05-01,2025-05-01 14:00:00,2025-05-01 22:00:00,38.49,0.33,0,Operator changeover mid-shift.,8.0,0,1.0,0.0085
1473,61,3,56,2023-03-19,2023-03-19 22:00:00,2023-03-20 06:00:00,22.37,0.23,7,Unscheduled machine downtime.,8.0,0,0.9854,0.0102
1474,247,8,29,2025-09-10,2025-09-10 14:00:00,2025-09-10 22:00:00,55.15,1.1,102,None,8.0,1,0.7875,0.0196
1475,382,33,62,2023-02-11,2023-02-11 06:00:00,2023-02-11 14:00:00,34.48,0.64,15,Unscheduled machine downtime.,8.0,0,0.9688,0.0182
1476,82,18,40,2025-11-14,2025-11-14 06:00:00,2025-11-14 14:00:00,143.34,2.82,15,None,8.0,0,0.9688,0.0193
1477,431,13,48,2025-07-18,2025-07-18 14:00:00,2025-07-18 22:00:00,143.34,1.67,136,None,8.0,1,0.7167,0.0115
1478,256,8,71,2025-03-28,2025-03-28 06:00:00,2025-03-28 14:00:00,112.33,0.88,7,None,8.0,0,0.9854,0.0078
1479,74,8,57,2025-02-22,2025-02-22 06:00:00,2025-02-22 14:00:00,115.78,6.03,7,None,8.0,0,0.9854,0.0495
1480,119,14,17,2024-01-31,2024-01-31 06:00:00,2024-01-31 14:00:00,37.52,0.39,9,None,8.0,0,0.9812,0.0103
1481,11,22,78,2025-01-04,2025-01-04 06:00:00,2025-01-04 14:00:00,22.2,3.34,13,Material shortage caused brief stoppage.,8.0,0,0.9729,0.1308
1482,474,31,33,2023-02-01,2023-02-01 22:00:00,2023-02-02 06:00:00,115.16,5.86,10,Unscheduled machine downtime.,8.0,0,0.9792,0.0484
1483,16,27,57,2023-08-28,2023-08-28 14:00:00,2023-08-28 22:00:00,72.71,0.75,1,None,8.0,0,0.9979,0.0102
1484,189,13,51,2025-07-09,2025-07-09 14:00:00,2025-07-09 22:00:00,53.46,0.02,84,Material shortage caused brief stoppage.,8.0,1,0.825,0.0004
1485,58,12,24,2024-06-11,2024-06-11 06:00:00,2024-06-11 14:00:00,129.6,1.94,8,Operator changeover mid-shift.,8.0,0,0.9833,0.0147
1486,310,1,80,2023-03-07,2023-03-07 06:00:00,2023-03-07 14:00:00,133.89,3.53,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.0257
1487,261,26,11,2024-04-04,2024-04-04 22:00:00,2024-04-05 06:00:00,90.43,0.44,2,None,8.0,0,0.9958,0.0048
1488,77,14,73,2023-10-14,2023-10-14 06:00:00,2023-10-14 14:00:00,112.0,0.5,236,Material shortage caused brief stoppage.,8.0,1,0.5083,0.0044
1489,99,7,10,2025-02-23,2025-02-23 06:00:00,2025-02-23 14:00:00,130.25,2.63,10,Minor tooling adjustment required.,8.0,0,0.9792,0.0198
1490,324,22,11,2024-01-05,2024-01-05 06:00:00,2024-01-05 14:00:00,29.92,0.35,4,Quality hold pending inspection.,8.0,0,0.9917,0.0116
1491,161,31,22,2025-07-29,2025-07-29 06:00:00,2025-07-29 14:00:00,21.63,3.03,2,None,8.0,0,0.9958,0.1229
1492,133,35,13,2024-12-11,2024-12-11 14:00:00,2024-12-11 22:00:00,129.09,2.24,2,None,8.0,0,0.9958,0.0171
1493,28,9,77,2025-11-01,2025-11-01 06:00:00,2025-11-01 14:00:00,121.61,1.34,69,None,8.0,1,0.8562,0.0109
1494,170,16,23,2025-03-11,2025-03-11 14:00:00,2025-03-11 22:00:00,73.58,1.58,5,None,8.0,0,0.9896,0.021
1495,473,18,47,2023-03-29,2023-03-29 14:00:00,2023-03-29 22:00:00,61.38,0.78,14,Operator changeover mid-shift.,8.0,0,0.9708,0.0125
1496,437,28,28,2024-09-15,2024-09-15 22:00:00,2024-09-16 06:00:00,114.23,3.26,5,None,8.0,0,0.9896,0.0277
1497,159,32,1,2024-09-25,2024-09-25 22:00:00,2024-09-26 06:00:00,21.76,1.67,19,Material shortage caused brief stoppage.,8.0,0,0.9604,0.0713
1498,381,7,47,2023-02-06,2023-02-06 06:00:00,2023-02-06 14:00:00,43.57,0.04,1,None,8.0,0,0.9979,0.0009
1499,215,22,41,2024-07-11,2024-07-11 22:00:00,2024-07-12 06:00:00,133.5,0.37,14,Minor tooling adjustment required.,8.0,0,0.9708,0.0028
1500,313,35,13,2023-07-15,2023-07-15 06:00:00,2023-07-15 14:00:00,27.82,0.03,235,None,8.0,1,0.5104,0.0011
1501,348,26,33,2025-08-10,2025-08-10 14:00:00,2025-08-10 22:00:00,77.34,1.6,15,None,8.0,0,0.9688,0.0203
1502,231,4,64,2024-12-12,2024-12-12 22:00:00,2024-12-13 06:00:00,83.79,1.05,1,None,8.0,0,0.9979,0.0124
1503,407,2,74,2024-07-17,2024-07-17 06:00:00,2024-07-17 14:00:00,129.54,1.2,14,Minor tooling adjustment required.,8.0,0,0.9708,0.0092
1504,317,12,68,2023-09-02,2023-09-02 06:00:00,2023-09-02 14:00:00,144.54,0.18,1,None,8.0,0,0.9979,0.0012
1505,62,9,16,2023-11-28,2023-11-28 06:00:00,2023-11-28 14:00:00,103.29,0.56,10,Unscheduled machine downtime.,8.0,0,0.9792,0.0054
1506,476,34,40,2025-03-05,2025-03-05 14:00:00,2025-03-05 22:00:00,72.06,0.2,1,None,8.0,0,0.9979,0.0028
1507,235,16,17,2023-09-22,2023-09-22 06:00:00,2023-09-22 14:00:00,92.55,5.4,211,None,8.0,1,0.5604,0.0551
1508,170,29,58,2025-03-12,2025-03-12 06:00:00,2025-03-12 14:00:00,46.05,0.47,11,None,8.0,0,0.9771,0.0101
1509,264,20,14,2023-05-18,2023-05-18 14:00:00,2023-05-18 22:00:00,29.52,0.5,8,Quality hold pending inspection.,8.0,0,0.9833,0.0167
1510,357,2,28,2024-12-07,2024-12-07 06:00:00,2024-12-07 14:00:00,107.15,0.03,229,Operator changeover mid-shift.,8.0,1,0.5229,0.0003
1511,7,19,75,2025-03-02,2025-03-02 06:00:00,2025-03-02 14:00:00,6.18,0.15,14,Quality hold pending inspection.,8.0,0,0.9708,0.0237
1512,20,34,34,2023-03-27,2023-03-27 14:00:00,2023-03-27 22:00:00,23.26,0.13,4,Material shortage caused brief stoppage.,8.0,0,0.9917,0.0056
1513,192,27,60,2025-10-09,2025-10-09 22:00:00,2025-10-10 06:00:00,27.2,3.3,167,Operator changeover mid-shift.,8.0,1,0.6521,0.1082
1514,347,19,16,2024-03-11,2024-03-11 22:00:00,2024-03-12 06:00:00,146.11,0.32,1,Minor tooling adjustment required.,8.0,0,0.9979,0.0022
1515,346,12,80,2023-01-28,2023-01-28 22:00:00,2023-01-29 06:00:00,135.61,12.54,13,Minor tooling adjustment required.,8.0,0,0.9729,0.0846
1516,96,20,64,2023-01-13,2023-01-13 06:00:00,2023-01-13 14:00:00,116.49,15.82,10,None,8.0,0,0.9792,0.1196
1517,422,23,4,2023-07-14,2023-07-14 06:00:00,2023-07-14 14:00:00,26.31,2.69,8,Operator changeover mid-shift.,8.0,0,0.9833,0.0928
1518,225,26,27,2025-01-02,2025-01-02 14:00:00,2025-01-02 22:00:00,115.05,0.91,4,Operator changeover mid-shift.,8.0,0,0.9917,0.0078
1519,273,34,68,2024-08-14,2024-08-14 14:00:00,2024-08-14 22:00:00,57.79,3.57,11,None,8.0,0,0.9771,0.0582
1520,407,32,27,2024-07-10,2024-07-10 22:00:00,2024-07-11 06:00:00,5.28,0.07,8,Material shortage caused brief stoppage.,8.0,0,0.9833,0.0131
1521,274,4,36,2025-04-28,2025-04-28 22:00:00,2025-04-29 06:00:00,47.25,0.37,16,Unscheduled machine downtime.,8.0,0,0.9667,0.0078
1522,6,14,17,2023-09-26,2023-09-26 14:00:00,2023-09-26 22:00:00,113.47,0.7,6,Operator changeover mid-shift.,8.0,0,0.9875,0.0061
1523,325,23,54,2023-12-12,2023-12-12 06:00:00,2023-12-12 14:00:00,111.78,3.32,8,None,8.0,0,0.9833,0.0288
1524,351,29,19,2025-08-17,2025-08-17 22:00:00,2025-08-18 06:00:00,69.12,0.98,109,None,8.0,1,0.7729,0.014
1525,438,2,75,2023-06-28,2023-06-28 14:00:00,2023-06-28 22:00:00,53.05,3.76,18,None,8.0,0,0.9625,0.0662
1526,487,35,67,2023-03-29,2023-03-29 06:00:00,2023-03-29 14:00:00,107.97,0.28,62,Material shortage caused brief stoppage.,8.0,1,0.8708,0.0026
1527,499,14,12,2023-11-27,2023-11-27 22:00:00,2023-11-28 06:00:00,72.51,1.89,17,Operator changeover mid-shift.,8.0,0,0.9646,0.0254
1528,4,3,80,2025-03-18,2025-03-18 14:00:00,2025-03-18 22:00:00,130.15,1.06,19,None,8.0,0,0.9604,0.0081
1529,97,30,22,2025-03-18,2025-03-18 14:00:00,2025-03-18 22:00:00,115.39,1.69,12,Operator changeover mid-shift.,8.0,0,0.975,0.0144
1530,377,33,59,2024-06-13,2024-06-13 06:00:00,2024-06-13 14:00:00,84.27,1.52,32,Unscheduled machine downtime.,8.0,1,0.9333,0.0177
1531,28,15,19,2025-11-05,2025-11-05 14:00:00,2025-11-05 22:00:00,38.11,0.66,15,None,8.0,0,0.9688,0.017
1532,423,24,66,2023-05-09,2023-05-09 22:00:00,2023-05-10 06:00:00,109.93,2.12,7,None,8.0,0,0.9854,0.0189
1533,72,26,80,2024-11-07,2024-11-07 14:00:00,2024-11-07 22:00:00,101.67,0.72,13,Unscheduled machine downtime.,8.0,0,0.9729,0.007
1534,263,31,20,2024-06-15,2024-06-15 22:00:00,2024-06-16 06:00:00,7.2,0.11,8,Unscheduled machine downtime.,8.0,0,0.9833,0.015
1535,53,27,56,2024-07-30,2024-07-30 22:00:00,2024-07-31 06:00:00,123.03,2.7,15,Material shortage caused brief stoppage.,8.0,0,0.9688,0.0215
1536,45,21,48,2024-02-05,2024-02-05 22:00:00,2024-02-06 06:00:00,18.17,0.4,2,None,8.0,0,0.9958,0.0215
1537,478,24,42,2024-03-29,2024-03-29 22:00:00,2024-03-30 06:00:00,8.44,0.02,12,Minor tooling adjustment required.,8.0,0,0.975,0.0024
1538,307,23,26,2023-09-10,2023-09-10 14:00:00,2023-09-10 22:00:00,114.36,0.51,3,Material shortage caused brief stoppage.,8.0,0,0.9938,0.0044
1539,178,24,22,2023-09-11,2023-09-11 22:00:00,2023-09-12 06:00:00,27.48,0.22,7,None,8.0,0,0.9854,0.0079
1540,151,5,11,2024-05-21,2024-05-21 06:00:00,2024-05-21 14:00:00,94.51,2.59,14,None,8.0,0,0.9708,0.0267
1541,498,30,73,2024-08-25,2024-08-25 14:00:00,2024-08-25 22:00:00,118.61,0.24,2,Material shortage caused brief stoppage.,8.0,0,0.9958,0.002
1542,95,16,36,2023-09-27,2023-09-27 22:00:00,2023-09-28 06:00:00,5.27,0.1,32,None,8.0,1,0.9333,0.0186
1543,126,27,22,2023-02-26,2023-02-26 06:00:00,2023-02-26 14:00:00,82.26,13.47,16,Minor tooling adjustment required.,8.0,0,0.9667,0.1407
1544,193,23,53,2024-12-10,2024-12-10 22:00:00,2024-12-11 06:00:00,95.62,2.57,3,Unscheduled machine downtime.,8.0,0,0.9938,0.0262
1545,367,27,1,2024-10-11,2024-10-11 22:00:00,2024-10-12 06:00:00,124.99,2.19,134,Minor tooling adjustment required.,8.0,1,0.7208,0.0172
1546,179,32,25,2025-10-02,2025-10-02 06:00:00,2025-10-02 14:00:00,81.08,10.42,117,Operator changeover mid-shift.,8.0,1,0.7562,0.1139
1547,414,31,51,2025-02-06,2025-02-06 06:00:00,2025-02-06 14:00:00,40.35,0.39,6,Unscheduled machine downtime.,8.0,0,0.9875,0.0096
1548,240,29,77,2023-07-31,2023-07-31 14:00:00,2023-07-31 22:00:00,139.07,2.25,12,Material shortage caused brief stoppage.,8.0,0,0.975,0.0159
1549,298,4,25,2025-09-10,2025-09-10 06:00:00,2025-09-10 14:00:00,148.48,3.29,5,None,8.0,0,0.9896,0.0217
1550,189,25,49,2025-07-20,2025-07-20 22:00:00,2025-07-21 06:00:00,14.9,0.33,13,Minor tooling adjustment required.,8.0,0,0.9729,0.0217
1551,248,27,73,2024-04-01,2024-04-01 06:00:00,2024-04-01 14:00:00,110.41,1.08,11,Quality hold pending inspection.,8.0,0,0.9771,0.0097
1552,15,28,54,2024-06-17,2024-06-17 06:00:00,2024-06-17 14:00:00,16.43,0.32,3,Quality hold pending inspection.,8.0,0,0.9938,0.0191
1553,57,14,71,2024-04-08,2024-04-08 14:00:00,2024-04-08 22:00:00,5.19,0.02,1,None,8.0,0,0.9979,0.0038
1554,111,32,13,2024-09-08,2024-09-08 22:00:00,2024-09-09 06:00:00,114.95,0.16,14,Minor tooling adjustment required.,8.0,0,0.9708,0.0014
1555,447,31,10,2025-09-06,2025-09-06 06:00:00,2025-09-06 14:00:00,36.53,0.13,3,Unscheduled machine downtime.,8.0,0,0.9938,0.0035
1556,46,10,56,2025-01-31,2025-01-31 06:00:00,2025-01-31 14:00:00,130.16,1.55,71,None,8.0,1,0.8521,0.0118
1557,48,13,54,2023-08-20,2023-08-20 22:00:00,2023-08-21 06:00:00,120.69,0.89,2,Minor tooling adjustment required.,8.0,0,0.9958,0.0073
1558,255,31,39,2024-06-12,2024-06-12 06:00:00,2024-06-12 14:00:00,20.6,0.59,7,None,8.0,0,0.9854,0.0278
1559,25,4,5,2025-05-31,2025-05-31 14:00:00,2025-05-31 22:00:00,125.17,3.09,12,None,8.0,0,0.975,0.0241
1560,53,20,10,2024-07-26,2024-07-26 06:00:00,2024-07-26 14:00:00,35.94,6.28,19,Operator changeover mid-shift.,8.0,0,0.9604,0.1487
1561,330,30,80,2024-01-02,2024-01-02 14:00:00,2024-01-02 22:00:00,88.58,1.28,10,Operator changeover mid-shift.,8.0,0,0.9792,0.0142
1562,444,17,70,2025-08-29,2025-08-29 06:00:00,2025-08-29 14:00:00,26.07,0.09,18,Minor tooling adjustment required.,8.0,0,0.9625,0.0034
1563,68,29,34,2025-08-05,2025-08-05 06:00:00,2025-08-05 14:00:00,138.38,2.76,9,Material shortage caused brief stoppage.,8.0,0,0.9812,0.0196
1564,350,17,15,2025-04-29,2025-04-29 22:00:00,2025-04-30 06:00:00,138.99,0.91,3,Unscheduled machine downtime.,8.0,0,0.9938,0.0065
1565,74,7,39,2025-03-12,2025-03-12 06:00:00,2025-03-12 14:00:00,142.35,25.45,92,Quality hold pending inspection.,8.0,1,0.8083,0.1517
1566,192,34,67,2025-10-17,2025-10-17 22:00:00,2025-10-18 06:00:00,126.5,0.98,13,None,8.0,0,0.9729,0.0077
1567,407,20,63,2024-07-15,2024-07-15 14:00:00,2024-07-15 22:00:00,28.11,0.71,7,Minor tooling adjustment required.,8.0,0,0.9854,0.0246
1568,264,28,80,2023-05-11,2023-05-11 14:00:00,2023-05-11 22:00:00,91.97,0.17,8,Material shortage caused brief stoppage.,8.0,0,0.9833,0.0018
1569,250,19,36,2024-03-26,2024-03-26 06:00:00,2024-03-26 14:00:00,69.77,0.05,0,Unscheduled machine downtime.,8.0,0,1.0,0.0007
1570,196,10,46,2023-03-09,2023-03-09 14:00:00,2023-03-09 22:00:00,131.35,3.61,14,Unscheduled machine downtime.,8.0,0,0.9708,0.0267
1571,127,28,41,2023-11-30,2023-11-30 22:00:00,2023-12-01 06:00:00,29.45,0.1,11,Unscheduled machine downtime.,8.0,0,0.9771,0.0034
1572,161,12,25,2025-07-26,2025-07-26 14:00:00,2025-07-26 22:00:00,12.77,0.19,17,Minor tooling adjustment required.,8.0,0,0.9646,0.0147
1573,266,9,41,2025-08-12,2025-08-12 22:00:00,2025-08-13 06:00:00,5.76,0.07,11,None,8.0,0,0.9771,0.012
1574,215,8,30,2024-07-16,2024-07-16 22:00:00,2024-07-17 06:00:00,24.73,0.69,8,None,8.0,0,0.9833,0.0271
1575,214,7,24,2023-08-22,2023-08-22 06:00:00,2023-08-22 14:00:00,41.48,0.84,2,None,8.0,0,0.9958,0.0198
1576,467,16,33,2025-02-05,2025-02-05 06:00:00,2025-02-05 14:00:00,23.61,0.55,7,None,8.0,0,0.9854,0.0228
1577,99,3,64,2025-03-08,2025-03-08 22:00:00,2025-03-09 06:00:00,45.13,4.26,8,None,8.0,0,0.9833,0.0863
1578,441,23,12,2024-01-16,2024-01-16 06:00:00,2024-01-16 14:00:00,31.84,0.6,3,Unscheduled machine downtime.,8.0,0,0.9938,0.0185
1579,81,25,24,2025-09-23,2025-09-23 22:00:00,2025-09-24 06:00:00,27.58,1.55,11,None,8.0,0,0.9771,0.0532
1580,445,1,65,2025-08-14,2025-08-14 06:00:00,2025-08-14 14:00:00,149.56,0.73,50,Quality hold pending inspection.,8.0,1,0.8958,0.0049
1581,474,13,23,2023-02-11,2023-02-11 06:00:00,2023-02-11 14:00:00,17.98,2.62,9,None,8.0,0,0.9812,0.1272
1582,49,35,23,2024-09-16,2024-09-16 06:00:00,2024-09-16 14:00:00,136.33,12.41,7,Quality hold pending inspection.,8.0,0,0.9854,0.0834
1583,311,4,48,2025-02-09,2025-02-09 14:00:00,2025-02-09 22:00:00,64.24,1.79,3,None,8.0,0,0.9938,0.0271
1584,252,34,50,2025-03-31,2025-03-31 14:00:00,2025-03-31 22:00:00,85.94,16.06,39,Unscheduled machine downtime.,8.0,1,0.9188,0.1575
1585,363,35,75,2025-07-07,2025-07-07 22:00:00,2025-07-08 06:00:00,124.98,16.91,10,None,8.0,0,0.9792,0.1192
1586,345,34,24,2023-03-09,2023-03-09 14:00:00,2023-03-09 22:00:00,108.92,1.71,3,Material shortage caused brief stoppage.,8.0,0,0.9938,0.0155
1587,390,1,25,2024-11-15,2024-11-15 14:00:00,2024-11-15 22:00:00,6.69,0.01,18,None,8.0,0,0.9625,0.0015
1588,221,31,31,2023-07-28,2023-07-28 06:00:00,2023-07-28 14:00:00,21.69,0.4,153,Minor tooling adjustment required.,8.0,1,0.6812,0.0181
1589,178,35,42,2023-09-26,2023-09-26 22:00:00,2023-09-27 06:00:00,41.39,0.43,5,Quality hold pending inspection.,8.0,0,0.9896,0.0103
1590,472,5,17,2025-05-28,2025-05-28 14:00:00,2025-05-28 22:00:00,105.37,10.65,57,None,8.0,1,0.8812,0.0918
1591,369,32,54,2023-07-27,2023-07-27 06:00:00,2023-07-27 14:00:00,47.6,0.52,8,Material shortage caused brief stoppage.,8.0,0,0.9833,0.0108
1592,268,10,34,2024-10-24,2024-10-24 22:00:00,2024-10-25 06:00:00,112.36,0.85,15,None,8.0,0,0.9688,0.0075
